         128959544 function calls (128371904 primitive calls) in 467.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40516    0.024    0.000    0.024    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.024    0.024 compat.py:30(_resolve_char_detection)
      132    0.000    0.000    0.024    0.000 _parser.py:969(parse)
      370    0.001    0.000    0.023    0.000 dataclasses.py:627(_repr_fn)
  535/132    0.002    0.000    0.023    0.000 _parser.py:452(_parse_sub)
      370    0.000    0.000    0.023    0.000 dataclasses.py:661(_cmp_fn)
     8671    0.019    0.000    0.022    0.000 enum.py:726(__call__)
  708/138    0.008    0.000    0.022    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.022    0.022 browser_launcher.py:1(<module>)
       24    0.000    0.000    0.022    0.001 _js_handle.py:331(parse_result)
        2    0.000    0.000    0.022    0.011 browser.py:1162(<lambda>)
 29095/24    0.017    0.000    0.022    0.001 _js_handle.py:213(parse_value)
    19/17    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
    19/17    0.020    0.001    0.022    0.001 {built-in method _imp.create_dynamic}
    17464    0.022    0.000    0.022    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        4    0.000    0.000    0.021    0.005 connection.py:1(<module>)
     3443    0.011    0.000    0.021    0.000 _base.py:408(add_done_callback)
        1    0.000    0.000    0.021    0.021 _base_connection.py:1(<module>)
    17976    0.021    0.000    0.021    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.021    0.011 request.py:138(urlopen)
        1    0.000    0.000    0.021    0.021 shadow_fleet_manager.py:1(<module>)
    68569    0.015    0.000    0.021    0.000 inspect.py:371(isfunction)
3373/3227    0.002    0.000    0.020    0.000 typing.py:392(inner)
        1    0.000    0.000    0.020    0.020 display.py:19(__init__)
        1    0.000    0.000    0.020    0.020 universaldetector.py:1(<module>)
    15472    0.014    0.000    0.020    0.000 _weakrefset.py:39(_remove)
     1076    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.019    0.006 easyprocess.py:233(wait)
        3    0.000    0.000    0.019    0.006 easyprocess.py:249(_wait4process)
